Name                  Team  Pos  Alt  Age  Height  Weight  POT  CON  GRE  SH   PL   ST   CH   PO   HI   SK   EN   PE   FA   LE   SR   FI   IN   OF   DF   OA
Sam Reinhart          BUF   RW   C    25   6'1     190     52   50   120  80   81   81   75   78   73   86   83   94   83   67   70   55   73   80   75   78
Mitch Marner          TOR   RW   C    23   5'11    160     53   50   120  82   84   84   77   81   59   86   85   81   94   66   70   67   84   83   72   78
Julien Gauthier       CAR   RW   LW   23   6'4     225     51   50   120  80   78   83   77   81   77   83   81   80   90   57   75   81   74   80   78   77
Nick Ritchie          TBL   RW   LW   25   6'2     232     54   50   120  76   74   75   76   80   76   85   85   69   84   66   78   59   76   75   77   76
Mark Stone            PHI   RW   LW   28   6'2     205     53   50   120  81   82   83   78   82   75   81   79   78   68   66   77   79   74   82   78   76
Lawson Crouse         COL   RW   LW   23   6'4     220     54   50   120  79   80   79   75   76   76   83   80   70   83   63   80   76   85   79   75   76
Cody Glass            PIT   RW   C    21   6'2     178     58   50   120  80   79   79   76   78   71   78   78   87   79   53   78   75   75   79   75   76
Tyler Toffoli         LAK   RW   LW   28   6'1     200     58   50   120  80   79   78   75   78   71   79   66   80   78   66   78   56   73   79   74   75
Ryan Getzlaf          COL   RW   C    35   6'4     221     54   50   120  75   80   82   77   74   70   79   59   75   78   78   84   50   79   79   73   75
Owen Tippett          FLA   RW   LW   21   6'0     200     51   50   120  79   77   76   76   77   73   81   82   88   79   52   67   63   72   77   75   75
Bryan Little          FLA   RW   C    33   6'0     191     58   50   120  76   78   78   73   79   68   78   73   87   82   53   73   34   79   77   73   75
Brett Ritchie         DAL   RW   LW   27   6'3     220     54   50   120  76   73   76   76   76   76   76   84   72   82   62   74   75   77   75   76   75
Brendan Gallagher     FLA   RW   LW   28   5'9     184     59   50   120  79   75   79   77   77   69   79   71   67   85   73   76   63   74   77   74   75
Andrew Shaw           PHI   RW   C    29   5'10    180     59   50   120  70   80   76   79   78   81   79   56   65   80   72   80   87   84   75   79   75
Zachary Senyshyn      BOS   RW   LW   23   6'1     192     55   50   120  73   76   75   74   75   67   77   78   88   76   58   75   66   76   74   72   74
William Carrier       VAN   RW   LW   26   6'2     212     54   50   120  73   75   74   74   74   75   76   79   73   76   63   75   68   74   74   74   74
Wayne Simmonds        PHI   RW   LW   32   6'2     185     54   50   120  78   74   75   84   78   75   73   70   65   65   74   84   70   74   75   79   74
Travis Konecny        PHI   RW   C    23   5'10    184     58   50   120  77   76   78   74   78   58   79   77   72   71   69   77   78   77   77   70   74
Josh Leivo            TOR   RW   LW   27   6'1     204     55   50   120  77   73   75   75   75   68   75   69   78   82   65   74   76   85   75   72   74
Jordan Eberle         CHI   RW   C    30   5'11    181     51   50   120  77   75   80   67   73   58   81   78   79   75   71   78   42   79   77   66   74
Jonathan Marchessaul  NJD   RW   C    30   5'9     175     58   50   120  80   78   78   75   70   70   78   69   84   77   66   60   51   85   78   71   74
Jeff Carter           MIN   RW   C    36   6'4     215     51   50   120  80   76   78   74   70   71   80   69   79   71   69   79   38   85   78   71   74
Jean-Gabriel Pageau   SJS   RW   C    28   5'10    180     55   50   120  76   77   75   75   75   74   75   69   84   81   61   68   58   81   76   74   74
Émile Poirier         CAL   RW   LW   26   6'2     196     56   50   120  75   75   76   77   76   77   76   76   71   65   69   76   77   73   75   76   74
Curtis Lazar          STL   RW   C    25   6'0     209     55   50   120  76   76   75   73   76   73   76   86   74   65   68   75   76   72   75   74   74
Corey Perry           OTT   RW   C    35   6'3     212     51   50   120  80   76   78   74   77   71   76   73   65   69   72   82   59   85   78   74   74
Alexander Kerfoot     PIT   RW   C    26   5'10    153     56   50   120  78   77   76   76   76   61   76   70   78   77   63   77   63   81   77   71   74
Tyson Jost            NJD   RW   C    22   5'11    192     58   50   120  77   75   76   75   78   54   79   79   82   77   61   68   43   76   76   69   73
Tyler Ennis           UFA   RW   LW   31   5'9     160     56   50   120  72   75   76   74   76   67   76   74   77   72   68   64   40   74   74   72   73
Ty Rattie             MAN   RW   LW   27   6'0     178     56   50   120  78   75   76   76   74   67   76   67   76   70   62   72   59   81   76   72   73
Seth Griffith         ROC   RW   C    28   5'9     190     57   50   120  71   71   77   72   77   56   77   73   80   78   64   77   59   79   73   68   73
Ryan Kujawinski       PIT   RW   C    25   6'2     205     55   50   120  74   73   75   75   75   71   78   77   74   76   57   72   84   82   74   73   73
Robert Thomas         CHI   RW   C    21   6'0     188     52   50   120  79   79   72   72   73   72   72   74   88   72   51   72   73   73   76   72   73
Nick Suzuki           PIT   RW   C    21   5'11    183     58   50   120  77   79   79   74   76   56   80   71   90   78   49   65   53   74   78   68   73
Nathan Horton         Juni  RW   C    35   6'2     229     54   50   120  72   72   73   72   69   72   72   74   78   72   70   78   65   45   72   71   73
Michael McLeod        PIT   RW   C    22   6'2     188     55   50   120  76   78   77   74   74   70   80   74   84   64   55   71   76   74   77   72   73
Matt Read             UFA   RW   LW   34   5'10    185     55   50   120  69   65   67   73   73   71   75   89   88   65   68   68   66   77   67   72   73
Mark McNeill          RFA   RW   C    27   6'2     214     54   50   120  75   74   75   74   74   73   78   70   77   76   61   74   77   84   74   73   73
Josh Bailey           UFA   RW   LW   31   6'1     210     55   50   120  75   78   75   75   75   67   75   64   87   76   56   76   46   85   76   72   73
James Neal            STL   RW   LW   33   6'2     221     51   50   120  78   74   76   78   74   72   77   73   68   61   75   81   35   45   76   74   73
Gabriel Vilardi       MON   RW   C    21   6'3     201     58   50   120  77   79   78   72   71   71   78   73   78   70   55   67   79   82   78   71   73
Gabriel Gagne         CHI   RW   C    24   6'5     186     54   50   120  73   76   75   70   72   69   74   74   82   76   62   74   75   75   74   70   73
David Perron          EDM   RW   LW   32   6'0     200     58   50   120  73   77   78   74   78   69   78   78   65   59   67   79   39   78   76   73   73
Cliff Pu              COE   RW   LW   22   6'2     191     56   50   120  74   72   76   71   71   73   76   76   85   75   55   75   77   77   74   71   73
Zach Hyman            TOR   RW   C    28   6'1     205     54   50   120  73   73   74   74   74   75   74   61   77   78   63   74   59   84   73   74   72
William Bitten        ANA   RW   C    22   5'10    167     56   50   120  76   76   78   73   74   54   78   79   88   78   56   51   77   70   76   67   72
Ty Ronning            HAR   RW   LW   23   5'9     167     56   50   120  74   71   74   76   72   54   76   71   96   75   45   76   75   79   73   67   72
Spencer Watson        ONT   RW   LW   24   5'10    170     56   50   120  73   73   76   73   74   53   75   76   80   76   55   76   76   79   74   66   72
Sasha Mutala          MON   RW   LW   19   6'1     185     51   50   120  78   77   77   75   74   72   75   78   76   82   48   51   68   74   77   73   72
Nathan Bastian        ANA   RW   C    23   6'4     205     55   50   120  72   72   72   76   75   72   75   67   75   77   51   76   76   71   72   74   72
Mathieu Joseph        NJD   RW   LW   23   6'1     173     55   50   120  76   75   75   68   62   68   75   75   79   72   58   72   77   84   75   66   72
Kyle Brodziak         UFA   RW   C    36   6'2     212     55   50   120  65   64   65   74   74   71   73   73   82   74   67   79   31   74   64   73   72
Kris Versteeg         UFA   RW   C    34   5'11    176     55   50   120  73   70   75   73   73   64   75   87   71   78   62   66   34   85   72   70   72
Joshua Anderson       CBS   RW   LW   26   6'3     221     54   50   120  66   72   69   74   76   75   75   80   66   74   64   72   67   81   69   75   72
Jake Virtanen         LAK   RW   LW   24   6'1     208     54   50   120  75   75   75   75   76   67   74   74   65   74   59   68   72   73   75   72   72
Connor McClennon      CLE   RW   LW   18   5'9     160     52   50   120  77   77   75   70   75   60   75   76   85   75   51   67   42   47   76   68   72
Colton Sissons        NAS   RW   C    27   6'1     200     55   50   120  63   63   75   72   75   74   75   71   79   77   65   73   76   79   67   73   72
Boris Katchouk        TBL   RW   LW   22   6'1     192     55   50   120  78   73   75   72   71   69   75   75   70   70   62   72   80   71   75   70   72
Blake Comeau          PRO   RW   C    34   6'1     202     55   50   120  66   59   68   74   75   76   76   89   70   70   67   75   33   73   64   75   72
Alexandre Grenier     PHI   RW   LW   29   6'5     200     56   50   120  65   67   76   76   69   78   74   61   75   77   68   74   52   81   69   74   72
Tom Wilson            WAS   RW   LW   26   6'4     218     59   50   120  74   71   73   73   73   77   72   73   61   71   62   70   96   79   72   74   71
Stelio Mattheos       CHA   RW   C    21   6'1     192     54   50   120  74   74   75   72   70   67   74   73   74   72   53   74   69   85   74   69   71
