<html>
Name                  Team  Pos  Alt  Age  Height  Weight  POT  CON  GRE  SH   PL   ST   CH   PO   HI   SK   EN   PE   FA   LE   SR   FI   IN   OF   DF   OA
Sam Reinhart          BUF   RW   C    24   6'1     190     82   74   90   79   81   81   75   78   73   83   84   94   83   67   70   55   73   80   75   79
Mitch Marner          TOR   RW   C    23   5'11    160     83   75   90   82   85   83   77   80   59   83   83   81   88   66   68   63   84   83   72   78
Lawson Crouse         COL   RW   LW   23   6'4     220     84   67   90   80   79   80   75   76   76   83   84   70   83   63   80   72   85   79   75   78
Ryan Strome           TBL   RW   C    26   6'1     199     82   69   85   76   77   79   78   78   74   81   80   75   83   66   74   58   76   77   76   77
Nick Ritchie          ANA   RW   LW   24   6'2     232     84   68   90   75   74   75   77   80   76   84   80   69   82   66   78   59   76   74   77   77
Mark Stone            PHI   RW   LW   28   6'2     205     83   70   90   81   82   83   78   82   75   81   74   78   68   66   77   79   74   82   78   77
Julien Gauthier       CAR   RW   LW   22   6'4     225     81   67   80   80   78   81   77   81   77   83   81   80   89   57   75   72   74   79   78   77
Wayne Simmonds        PHI   RW   LW   31   6'2     185     84   73   85   78   74   75   84   78   75   73   80   65   65   74   84   70   74   75   79   76
Tyler Toffoli         LAK   RW   LW   28   6'1     200     78   72   90   80   79   78   75   78   71   78   63   80   78   66   77   56   73   79   74   76
Travis Zajac          NJD   RW   C    35   6'3     205     85   71   80   76   74   75   75   75   70   74   77   80   84   71   74   44   81   75   73   76
Taylor Raddysh        PIT   RW   LW   22   6'2     207     81   69   90   80   77   79   76   75   70   81   80   82   82   58   66   68   70   78   73   76
Jeff Carter           MIN   RW   C    35   6'4     215     81   76   85   80   76   78   74   70   71   80   77   79   71   69   79   38   85   78   71   76
Jean-Gabriel Pageau   SJS   RW   C    27   5'10    180     75   72   100  76   77   75   75   74   74   75   75   84   81   61   67   55   81   76   74   76
Brendan Gallagher     FLA   RW   LW   28   5'9     184     79   80   90   79   75   79   77   77   69   79   69   67   85   73   75   63   74   77   74   76
