Name                  Team  Pos  Alt  Age  Height  Weight  POT  CON  GRE  SH   PL   ST   CH   PO   HI   SK   EN   PE   FA   LE   SR   FI   IN   OF   DF   OA
Petr Mrazek           TBL   G    -    28   6'1     184     55   50   120  77   77   75   77   75   77   75   79   80   76   70   69   31   73   76   76   75
Michal Neuvirth       UFA   G    -    32   6'0     209     55   50   120  75   75   75   75   75   75   75   63   76   74   63   74   33   76   75   75   73
Ondrej Pavelec        UFA   G    -    33   6'3     215     54   50   120  75   74   74   76   74   74   72   71   72   68   53   62   31   79   74   74   71
David Rittich         UFA   G    -    28   6'4     202     51   50   120  73   72   72   72   73   72   69   64   76   72   64   68   31   82   72   72   71
Alexander Salak       UFA   G    -    34   6'1     189     55   50   120  74   74   73   74   74   74   74   62   76   72   62   63   29   85   73   74   71
Vitek Vanecek         HER   G    -    25   6'1     187     53   50   120  75   70   71   74   74   65   74   71   77   72   50   57   40   76   72   71   70
Matej Machovsky       UFA   G    -    27   6'2     191     53   50   120  75   75   71   74   75   74   64   74   73   54   54   68   36   79   73   74   70
Jakub Skarek          CAR   G    -    21   6'3     202     53   50   120  74   73   74   73   74   74   72   69   73   73   50   62   40   74   73   73   70
Jakub Kovar           UFA   G    -    32   6'0     176     53   50   120  71   70   71   72   69   72   71   71   75   72   59   60   35   81   70   71   70
Karel Vejmelka        UFA   G    -    24   6'3     202     59   50   120  70   70   70   70   69   70   70   66   76   66   50   70   40   77   70   69   69
Daniel Vladar         UFA   G    -    23   6'5     185     57   50   120  69   69   69   68   69   69   67   68   81   67   58   68   40   79   69   68   69
Josef Korenar         BEL   G    -    23   6'1     175     50   50   120  70   71   72   70   68   62   69   67   76   69   55   65   40   74   71   66   68
Marek Mazanec         UFA   G    -    29   6'4     187     53   50   120  70   64   65   69   66   68   65   55   75   64   60   61   38   81   66   67   67
Marek Langhamer       UFA   G    -    26   6'2     193     53   50   120  67   65   65   65   67   64   65   57   70   62   60   55   25   84   65   65   65
Miroslav Svoboda      SAR   G    -    25   6'0     200     53   50   120  74   74   75   62   74   71   56   38   75   40   46   55   40   75   74   69   64
Petr Kvaca            COE   G    -    23   6'1     174     52   50   120  63   63   64   64   64   60   63   63   75   60   47   51   40   70   63   62   63
Jiri Patera           CHW   G    -    21   6'2     209     52   50   120  73   59   67   59   66   66   56   57   76   54   48   54   37   74   66   63   63
Roman Will            UFA   G    -    28   6'1     195     51   50   120  60   60   59   59   60   55   54   39   79   56   55   58   36   74   59   58   61
Patrik Bartosak       UFA   G    -    27   6'1     193     59   50   120  59   60   59   60   60   58   58   43   74   56   53   51   35   84   59   59   61
Tomas Vomacka         Juni  G    -    21   6'3     165     58   50   120  56   57   50   58   55   58   54   60   78   56   48   42   44   71   54   57   60
Lukas Dostal          Juni  G    -    20   6'1     158     58   50   120  60   53   59   60   58   52   58   53   74   59   49   47   54   70   57   56   60
Vit Melichar          Draf  G    -    19   6'2     201     58   50   120  50   49   42   49   39   51   55   53   90   29   62   57   12   45   47   46   56
Bohumil Kresek        Juni  G    -    20   6'1     197     52   50   120  54   57   59   49   37   45   60   50   78   27   46   45   19   85   56   43   55
Nick Malik            Juni  G    -    18   6'0     161     54   50   120  48   46   49   46   46   50   51   52   53   44   44   52   15   83   47   47   53
Leopold Schmid        Draf  G    -    17   5'10    170     58   50   120  55   53   55   39   35   39   61   54   55   34   57   41   11   88   54   37   53
Bedrich Pinter        Draf  G    -    21   6'6     227     58   50   120  47   44   47   47   48   46   47   34   70   26   63   54   18   66   46   47   53
Ales Stezka           Juni  G    -    24   6'4     190     50   50   120  44   44   47   49   45   49   48   35   74   46   47   44   37   77   45   47   52
Julius Maslej         Draf  G    -    19   6'1     127     58   50   120  48   47   42   37   43   26   48   54   91   37   59   18   17   76   45   35   51

Name                  Team  Pos  Alt  Age  Height  Weight  POT  CON  GRE  SH   PL   ST   CH   PO   HI   SK   EN   PE   FA   LE   SR   FI   IN   OF   DF   OA
Libor Hájek           NYR   D    -    22   6'2     202     56   50   120  72   72   73   77   78   76   83   80   77   81   53   76   66   75   72   77   74
Michal Kempny         WAS   D    -    30   6'0     194     58   50   120  75   65   68   78   78   73   76   78   72   65   64   78   43   73   69   76   73
Radko Gudas           PHI   D    -    30   6'0     204     57   50   120  54   62   55   77   77   82   77   83   52   61   69   77   73   73   57   78   70
