Name                  Team  Pos  Alt  Age  Height  Weight  POT  CON  GRE  SH   PL   ST   CH   PO   HI   SK   EN   PE   FA   LE   SR   FI   IN   OF   DF   OA
Patrik Laine          WPG   RW   LW   22   6'4     206     51   50   120  88   86   87   72   75   69   82   88   85   92   70   73   55   85   87   72   79
Jesse Puljujärvi      EDM   RW   LW   22   6'4     211     55   50   120  79   82   82   81   75   71   81   85   89   86   61   83   64   75   81   75   78
Mikko Rantanen        PIT   RW   C    24   6'4     211     52   50   120  80   82   82   71   69   66   83   82   79   76   63   72   54   78   81   68   75
Eeli Tolvanen         VGK   RW   LW   21   5'10    170     51   50   120  82   80   80   76   69   56   84   76   83   82   49   75   82   83   80   67   74
Otto Koivula          NYI   RW   LW   22   6'4     219     58   50   120  75   73   75   77   71   72   78   78   83   64   54   74   80   78   74   73   73
Joonas Donskoi        TEX   RW   LW   28   6'0     190     55   50   120  75   74   75   75   75   68   75   75   80   71   62   72   49   76   74   72   73
Joel Armia            MON   RW   LW   27   6'3     205     54   50   120  72   75   75   73   75   71   75   70   78   70   67   74   46   83   74   73   73
Teemu Pulkkinen       COL   RW   LW   29   5'10    185     51   50   120  77   76   76   77   78   59   81   57   86   74   60   72   58   79   76   71   72
Kristian Tanus        MIN   RW   LW   20   5'10    162     55   50   120  76   78   75   75   76   53   75   75   82   74   55   68   41   62   76   68   72
Markus Hannikainen    UFA   RW   LW   27   6'2     195     55   50   120  68   65   75   72   71   74   72   61   70   77   63   75   76   76   69   72   71
Kaapo Kakko           BOS   RW   -    19   6'1     187     51   50   120  83   77   78   69   70   66   76   83   82   67   56   51   50   68   79   68   71
Henrik Haapala        UFA   RW   LW   26   5'9     156     56   50   120  71   59   75   56   63   55   71   86   84   70   52   70   77   70   68   58   69
Iiro Pakarinen        UFA   RW   LW   29   6'1     215     59   50   120  63   57   66   70   70   75   70   61   85   56   62   69   42   79   62   71   68
Kasper Simontaival    TOM   RW   C    19   5'10    172     53   50   120  73   67   69   69   59   54   70   68   65   66   57   69   41   71   69   60   67
Jonne Tammela         UFA   RW   LW   23   5'10    187     55   50   120  53   53   75   57   75   53   75   72   77   66   52   75   58   78   60   61   67
Joona Koppanen        PRO   RW   LW   22   6'5     192     55   50   120  57   53   57   58   58   65   65   67   87   64   52   76   74   71   55   60   65
Markus Nurmi          SAR   RW   LW   22   6'4     176     54   50   120  62   53   67   56   56   72   56   61   77   75   56   59   76   70   60   61   64
Eetu Tuulola          STO   RW   LW   22   6'2     224     54   50   120  51   51   63   57   56   70   56   74   72   72   48   74   75   73   55   61   64
Toni Lind             SPR   RW   -    20   6'1     186     53   50   120  61   62   62   52   54   53   63   68   62   60   69   58   40   89   61   53   63
Linus Nyman           SJB   RW   C    21   5'9     156     59   50   120  54   60   53   70   65   50   59   56   86   68   50   41   59   74   55   61   62
Emil Oksanen          CHW   RW   LW   22   6'1     189     52   50   120  47   49   51   70   56   64   57   60   85   58   50   65   74   79   49   63   62
Saku Maenalanen       UFA   RW   C    26   6'3     185     54   50   120  59   58   60   61   50   52   57   72   71   51   54   57   26   76   59   54   61
Niklas Nordgren       SPR   RW   LW   20   5'9     169     51   50   120  64   64   71   52   54   46   58   52   88   65   49   40   45   76   66   50   61
Keijo Koppala         Draf  RW   -    17   6'4     224     52   50   120  53   82   64   43   41   43   67   65   82   29   69   69   10   69   66   42   61
Kauko Anttila         Juni  RW   LW   19   5'11    192     53   50   120  62   58   54   49   52   47   70   57   89   31   68   47   11   70   58   49   60
Sami Moilanen         Draf  RW   LW   22   5'8     185     59   50   120  56   52   56   54   55   49   60   49   82   55   49   34   30   78   54   52   58
Mikko Petman          Juni  RW   C    19   5'11    179     56   50   120  56   65   58   60   53   45   56   44   61   65   48   45   51   79   59   52   58
Markus Salomäki       Draf  RW   LW   20   6'3     194     52   50   120  50   51   52   40   38   43   52   62   86   32   61   53   18   53   51   40   56
Risto Isomäki         Draf  RW   LW   19   6'0     173     53   50   120  48   38   47   36   36   41   58   65   89   35   60   51   18   81   44   37   55
Rami Koskinen         Draf  RW   LW   20   6'3     226     53   50   120  52   42   44   37   39   39   55   42   89   33   61   64   14   80   46   38   54
Ville Räsänen         Draf  RW   LW   17   6'2     188     53   50   120  43   47   43   35   35   34   57   53   68   26   57   55   11   77   44   34   51
Teemu Vähätalo        Draf  RW   LW   18   6'1     177     51   50   120  62   35   43   28   30   26   55   48   85   34   64   45   11   65   46   28   51
Markus Salo           Draf  RW   C    18   6'2     215     52   50   120  44   51   43   37   28   36   54   51   81   36   45   43   12   53   46   33   51
Ahti Karjalainen      Draf  RW   -    20   5'11    167     54   50   120  52   52   45   41   41   38   46   57   51   29   53   36   42   81   49   40   51
Veijo Katajamaki      Draf  RW   LW   18   5'11    179     59   50   120  38   36   40   35   39   34   55   55   74   24   57   44   48   68   38   36   50
Valtteri Kyllonen     Draf  RW   C    19   5'10    181     53   50   120  48   39   50   35   33   33   52   40   79   30   57   35   16   82   45   33   50
Mikael Myyry          Draf  RW   LW   19   6'1     180     52   50   120  39   52   43   33   41   33   43   43   56   39   48   42   20   85   44   35   48
Teuvo Teravainen      CAR   LW   C    26   5'11    178     53   50   120  78   80   83   71   78   61   84   83   81   83   66   78   57   84   80   70   76
Sebastian Aho         CAR   LW   C    23   6'0     172     52   50   120  77   81   82   69   80   69   83   81   82   77   66   75   62   81   80   72   76
Kasperi Kapanen       NAS   LW   RW   24   6'1     187     58   50   120  76   77   78   76   77   72   78   78   84   79   67   61   63   82   77   75   75
Roope Hintz           TBL   LW   C    24   6'3     205     58   50   120  75   74   73   72   76   75   77   78   80   76   63   75   77   79   74   74   74
