Name                  Team  Pos  Alt  Age  Height  Weight  POT  CON  GRE  SH   PL   ST   CH   PO   HI   SK   EN   PE   FA   LE   SR   FI   IN   OF   DF   OA
Nikita Kucherov       WPG   RW   LW   27   5'11    178     53   50   120  86   83   84   75   75   67   92   93   80   82   64   74   53   74   84   72   78
Vladimir Tarasenko    CHI   RW   LW   29   6'0     219     51   50   120  84   80   85   73   79   70   91   85   80   73   66   79   42   73   83   74   77
Andrei Svechnikov     CAR   RW   C    20   6'2     186     51   50   120  83   82   84   69   70   69   86   88   80   92   56   68   90   71   83   69   76
Pavel Buchnevich      NYR   RW   C    25   6'2     178     53   50   120  75   75   79   71   75   70   84   93   79   78   65   70   73   76   76   72   75
Evgeni Svechnikov     DET   RW   LW   24   6'2     199     53   50   120  80   80   83   71   79   67   84   83   69   71   61   77   76   77   81   72   75
Denis Gurianov        DAL   RW   LW   23   6'3     200     51   50   120  80   76   78   75   77   74   83   71   84   82   58   65   74   72   78   75   74
Alexander Burmistrov  UFA   RW   C    29   6'1     180     55   50   120  66   72   75   75   75   68   75   85   73   72   59   75   42   85   71   72   73
Nikita Popugaev       CHW   RW   LW   22   6'6     217     56   50   120  73   74   75   70   71   68   76   74   82   75   54   76   75   74   74   69   72
Alexander Radulov     FLA   RW   LW   34   6'1     205     52   50   120  76   77   81   73   71   65   77   60   74   65   63   82   27   85   78   69   72
Alexander Delnov      MAN   RW   LW   27   6'0     189     54   50   120  75   75   74   71   74   67   73   74   77   67   55   74   75   78   74   70   72
Valentin Zykov        CHA   RW   LW   25   6'1     224     57   50   120  74   74   77   58   74   54   76   75   72   76   60   77   75   75   75   62   71
Sergei Shumakov       UFA   RW   LW   28   6'0     196     56   50   120  68   77   75   70   79   64   77   75   75   71   59   59   63   70   73   71   71
Vladimir Kuznetsov    MON   RW   LW   22   6'2     210     54   50   120  75   76   74   69   69   62   75   75   79   65   54   57   75   73   75   66   70
Vasili Podkolzin      BRG   RW   -    19   5'11    165     51   50   120  75   77   77   71   75   65   75   76   70   68   48   60   40   96   76   70   70
Evgeni Dadonov        UFA   RW   LW   31   5'11    185     58   50   120  76   74   78   65   72   55   78   61   89   54   58   73   23   79   76   64   70
Anatoli Golyshev      BRG   RW   LW   25   5'8     178     58   50   120  55   76   77   63   75   55   75   78   68   76   50   78   75   73   69   64   70
Nikita Korostelev     SYR   RW   LW   23   6'1     195     53   50   120  71   71   66   74   62   66   56   58   87   72   50   73   73   81   69   67   68
Daniil Vovchenko      MAN   RW   LW   24   5'10    172     56   50   120  61   74   76   58   76   55   69   58   79   69   54   68   77   79   70   63   68
Viktor Tikhonov       UFA   RW   C    32   6'2     189     55   50   120  62   64   62   67   72   67   70   56   76   64   61   71   32   85   62   68   67
Kirill Petrov         UFA   RW   LW   30   6'3     232     55   50   120  63   58   64   71   72   61   73   77   77   54   56   68   30   85   61   68   67
Ilya Badanin          ONT   RW   -    20   6'3     179     52   50   120  69   66   61   63   67   58   71   73   80   45   69   67   40   79   65   62   67
Dmitri Kugryshev      UFA   RW   LW   31   5'11    193     55   50   120  64   67   70   71   72   62   76   74   71   53   53   58   24   72   67   68   67
Artur Kayumov         RKF   RW   LW   22   5'11    176     56   50   120  54   55   73   76   69   53   70   71   77   76   52   66   75   70   60   66   67
Alexander Dergachev   LAK   RW   C    24   6'4     200     54   50   120  72   75   73   63   56   57   49   75   76   69   49   74   74   85   73   58   67
Kirill Maximov        BAK   RW   LW   21   6'2     192     53   50   120  67   52   65   71   63   68   67   64   81   70   45   58   74   75   61   67   66
Andrei Altybarmakyan  RKF   RW   LW   22   5'11    183     53   50   120  74   55   61   73   70   51   66   64   63   72   48   73   56   79   63   64   66
Stanislav Galiev      UFA   RW   LW   29   6'1     187     56   50   120  66   63   72   59   59   51   74   57   80   59   58   63   30   74   67   56   65
Denis Smirnov         COE   RW   LW   23   5'10    185     56   50   120  53   69   71   46   67   52   56   71   80   75   51   65   77   78   64   55   65
Alexander Barabanov   UFA   RW   LW   26   5'10    190     56   50   120  54   70   64   58   55   55   71   40   93   71   55   49   45   76   62   56   64
Daniil Miromanov      BRG   RW   LW   23   6'4     185     59   50   120  48   48   65   50   59   74   51   51   86   73   50   70   69   74   53   61   63
Alexei Toropchenko    SAR   RW   LW   21   6'3     187     54   50   120  63   52   52   68   66   67   60   61   70   70   48   52   68   76   55   67   63
Vladimir Macinko      Draf  RW   -    18   6'6     224     53   50   120  59   56   61   54   53   53   63   71   76   35   69   69   12   60   58   53   62
Pavel Rotenberg       UTI   RW   LW   20   6'0     179     53   50   120  70   58   59   56   56   67   56   54   80   70   49   41   48   71   62   59   62
Alexei Gainutdinov    Draf  RW   -    20   6'2     207     54   50   120  64   44   62   57   58   68   54   64   48   41   69   78   43   55   56   61   62
Mikhail Abramov       Juni  RW   C    19   5'10    152     53   50   120  65   64   68   51   50   50   64   57   89   34   56   50   16   83   65   50   61
Kirill Nizhnikov      ONT   RW   LW   20   6'2     190     51   50   120  72   67   60   52   51   54   71   48   81   64   48   40   48   72   66   52   61
Ilya Mikheyev         UFA   RW   LW   26   6'2     190     56   50   120  51   54   55   49   49   46   60   72   89   56   57   54   37   75   53   48   61
Igor Bratus           Draf  RW   -    18   6'3     223     53   50   120  54   55   55   46   52   46   64   69   88   37   66   65   12   61   54   48   61
Vsevolod Zerbaliev    Draf  RW   LW   17   6'2     192     53   50   120  58   57   60   53   49   55   63   64   75   23   68   66   14   68   58   52   60
Semen Afonasievski    BEL   RW   LW   24   6'2     187     59   50   120  48   48   49   53   43   74   57   68   78   60   47   53   69   85   48   56   60
Maxim Shalunov        UFA   RW   C    28   6'3     185     56   50   120  59   51   56   48   48   41   55   75   72   67   50   54   40   81   55   45   60
Sergey Nikitin        ROC   RW   LW   20   6'0     170     59   50   120  59   49   49   44   50   45   57   70   89   49   51   53   60   77   52   46   59
Denis Mingaleyev      UFA   RW   LW   26   5'10    172     53   50   120  53   52   62   54   49   43   61   49   80   60   55   47   44   70   55   48   59
Denis Mikhnin         GRD   RW   LW   21   5'10    166     51   50   120  55   57   60   46   50   47   67   65   71   59   52   44   27   72   57   47   59
Daniil Skorikov       Draf  RW   LW   21   6'4     188     51   50   120  59   51   54   53   50   46   55   67   77   54   48   48   40   74   54   49   58
Artur Tyanulin        CLE   RW   LW   24   5'9     174     52   50   120  51   51   50   57   53   52   53   52   70   72   54   40   74   72   50   54   58
Vyacheslav Leshchenk  UFA   RW   LW   25   5'11    168     56   50   120  58   54   55   42   42   40   61   32   77   63   59   49   30   79   55   41   57
Yegor Korshkov        Juni  RW   LW   24   6'4     180     56   50   120  55   55   58   54   41   42   51   57   68   48   48   50   35   76   56   45   56
Vitaly Rokhlin        Juni  RW   C    19   6'0     203     53   50   120  51   41   45   45   41   40   63   62   86   41   56   54   28   69   45   42   56
Nikolai Chebykin      Juni  RW   LW   23   6'4     223     56   50   120  53   57   58   47   45   44   53   49   66   50   48   50   45   74   56   45   56
Dmitri Sheshin        Juni  RW   LW   19   5'8     100     56   50   120  62   63   56   40   42   39   60   45   81   59   45   25   28   75   60   40   56
Kirill Slepets        Draf  RW   LW   21   5'10    165     53   50   120  59   54   56   41   42   35   64   40   82   51   49   38   26   76   56   39   55
Artem Bulygin         Draf  RW   C    17   6'1     190     53   50   120  45   46   53   37   35   37   56   61   90   33   60   54   14   71   48   36   55
Kiril Primakov        STO   RW   C    20   5'11    183     53   50   120  46   47   56   47   40   39   65   58   68   35   52   42   19   75   49   42   54
Ivan Kosorenkov       Draf  RW   LW   23   5'10    187     51   50   120  56   49   52   39   37   35   60   52   74   48   49   38   27   66   52   37   54
Gleb Donkin           Draf  RW   LW   17   6'6     226     53   50   120  46   47   41   41   33   38   53   52   78   34   64   62   13   79   44   37   54
Dmitri Abramov        Juni  RW   -    19   5'8     153     53   50   120  53   45   49   53   52   38   54   53   64   32   63   40   24   53   49   47   54
Artem Ivanyuzhenkov   Draf  RW   LW   22   6'2     212     59   50   120  51   42   47   57   44   54   52   41   41   53   51   59   58   72   46   51   54
Juri Stanislavich     Draf  RW   LW   18   6'1     202     51   50   120  77   46   53   27   29   25   53   66   82   22   52   45   11   74   58   27   53
Dmitry Babenko        Draf  RW   LW   19   6'1     210     51   50   120  68   43   46   30   33   28   59   49   82   23   58   55   14   82   52   30   53
Artem Manukyan        Draf  RW   LW   22   5'9     144     56   50   120  52   58   55   34   38   36   57   36   70   47   51   35   40   74   55   36   53
Vladimir Khudorozkin  Draf  RW   LW   19   6'4     218     52   50   120  50   53   51   37   29   32   52   48   77   37   48   44   18   73   51   32   52
Nikolai Tonkov        Juni  RW   C    20   5'11    196     59   50   120  47   39   43   37   40   45   67   37   68   30   58   42   50   64   43   40   52
Nikita Sviridov       Draf  RW   LW   20   6'1     178     59   50   120  43   40   44   34   38   35   59   42   88   33   53   55   56   71   42   35   52
Pavel Klosovsky       Draf  RW   LW   19   6'1     144     53   50   120  42   43   42   41   38   20   50   59   74   31   58   22   13   81   42   33   49
Albert Shistyev       Draf  RW   C    18   6'0     204     53   50   120  43   44   42   31   28   26   58   45   72   22   55   50   14   76   43   28   49
Alex Ovechkin         WAS   LW   RW   35   6'3     239     51   50   120  88   78   84   72   70   78   91   99   75   58   74   90   31   79   83   73   78
Nikita Gusev          DET   LW   RW   28   5'9     163     53   50   120  79   79   82   74   76   60   83   83   78   84   61   68   83   81   80   70   75
Anton Slepyshev       MON   LW   RW   26   6'2     194     51   50   120  77   73   77   78   78   73   80   77   78   83   59   79   75   81   75   76   75
Nikita Soshnikov      SJS   LW   RW   27   5'11    190     55   50   120  74   72   73   76   74   72   76   73   85   81   60   75   72   72   73   74   74
Kirill Kaprizov       BOS   LW   RW   23   5'9     185     58   50   120  79   79   80   75   77   56   78   82   83   80   54   69   59   78   79   69   74
