Name                  Team  Pos  Alt  Age  Height  Weight  POT  CON  GRE  SH   PL   ST   CH   PO   HI   SK   EN   PE   FA   LE   SR   FI   IN   OF   DF   OA
Richard Panik         COL   RW   LW   29   6'1     208     74   50   90   78   71   74   74   74   73   74   74   82   65   65   74   45   79   74   73   72
Marko Dano            RFA   RW   C    25   5'11    183     75   49   90   76   74   74   70   72   68   75   72   78   65   63   64   51   82   74   70   71
Peter Cehlarik        UFA   RW   LW   24   6'2     202     74   41   100  58   71   62   60   62   73   59   70   80   74   61   72   76   78   63   65   67
Radovan Pulis         UFA   RW   C    28   6'1     209     73   72   95   63   58   61   56   51   50   69   57   79   58   56   58   31   55   60   52   63
Maxim Cajkovic        Juni  RW   LW   19   5'11    187     73   72   94   48   47   48   55   53   52   50   57   66   60   51   50   14   77   47   53   58
Benedikt Semen        Juni  RW   LW   20   6'2     200     63   72   117  49   41   56   43   44   49   66   60   67   27   60   55   18   85   48   45   57
Libor Dundl           Draf  RW   LW   20   6'2     222     63   33   103  61   56   59   38   36   34   62   65   78   36   52   53   10   70   58   36   55
Marian Studenic       Juni  RW   C    21   6'1     164     71   63   95   54   45   46   44   39   38   57   31   81   51   48   39   27   79   48   40   53
Patrik Hrehorcak      Draf  RW   C    21   5'10    178     73   58   100  58   52   56   39   42   31   59   34   68   41   45   37   60   74   55   37   52
Boleslav Siodmak      Juni  RW   C    17   6'1     199     53   95   72   42   38   44   44   45   45   52   53   72   30   50   57   15   74   41   44   52
Norbert Kuszik        Draf  RW   C    19   6'1     190     63   50   84   52   41   53   36   43   36   62   42   71   28   64   54   14   87   48   38   51
Vaclav Demitra        Draf  RW   C    17   5'11    172     55   33   107  45   38   34   48   51   34   56   54   83   22   59   41   17   69   39   44   50
Jiri Poklop           Draf  RW   -    18   6'2     185     54   76   112  44   49   52   19   27   50   40   52   36   36   53   50   43   76   48   32   50
Josef Bacurik         Draf  RW   LW   19   6'3     218     43   45   98   43   41   43   42   38   36   44   57   67   37   57   57   14   73   42   38   49
Alexej Bicanek        Draf  RW   LW   17   6'0     172     42   44   70   32   39   45   22   18   18   36   45   75   31   37   29   11   57   38   19   38
Marian Gaborik        UFA   RW   LW   38   6'1     205     75   65   85   10   19   16   10   10   10   10   10   31   10   15   10   10   56   15   10   25
Tomas Tatar           ANA   LW   RW   29   5'10    186     83   70   90   80   74   78   73   70   69   81   79   82   76   62   69   46   75   77   70   75
Tomas Jurco           VGK   LW   RW   27   6'2     188     75   67   90   76   77   75   75   75   70   75   74   85   76   59   73   54   81   76   73   74
Martin Reway          BUF   LW   C    25   5'8     184     78   37   80   73   75   78   70   73   56   76   77   75   76   65   64   76   74   75   66   70
Marian Hossa          CHI   LW   RW   41   6'1     210     85   74   80   74   68   75   73   69   55   80   52   76   62   72   65   41   73   72   65   70
Marek Hrivik          UFA   LW   C    28   6'2     205     75   67   90   59   65   71   71   74   64   72   69   89   66   58   67   32   70   65   69   70
Radovan Bondra        CHW   LW   RW   23   6'5     217     69   72   100  50   61   60   65   58   52   70   70   81   65   55   70   52   81   57   58   66
Milos Roman           WIL   LW   C    20   6'0     188     73   62   90   56   55   53   55   55   63   57   73   81   75   45   44   66   73   54   57   62
Adam Liska            CHA   LW   RW   20   6'0     180     63   68   95   56   54   65   46   58   40   64   61   79   58   49   52   29   74   58   48   60
Jakub Lacka           Draf  LW   RW   21   5'11    176     73   56   100  56   61   58   59   62   51   56   49   67   52   50   45   44   71   58   57   59
Josef Kralikov        Juni  LW   C    18   6'4     230     54   77   119  53   52   52   42   38   53   46   58   51   32   63   63   44   92   52   44   56
Milos Spacek          Draf  LW   RW   20   6'2     202     62   56   85   43   63   57   43   40   37   61   63   73   34   62   51   20   72   54   40   55
Cenek Horvat          Draf  LW   C    19   6'4     222     43   85   70   42   41   44   42   39   34   51   51   77   29   62   50   17   64   42   38   50
Otakar Kurzka         Draf  LW   RW   18   5'11    188     63   28   87   57   46   58   33   30   29   63   60   75   21   53   36   12   56   53   30   49
Jaroslav Halak        TBL   G    -    35   5'10    186     76   71   90   76   76   78   76   78   78   76   56   73   70   70   67   36   79   76   77   74
Peter Budaj           UFA   G    -    37   6'1     196     73   70   90   73   72   73   73   72   73   72   65   74   72   68   63   29   85   72   72   72
Maximilian Pajpach    COE   G    -    24   6'1     207     70   70   95   72   70   72   70   71   70   70   67   77   67   53   56   40   77   71   70   70
Matej Tomek           LHV   G    -    23   6'3     180     70   70   95   72   72   70   70   71   72   71   70   77   47   50   70   33   82   71   71   69
Jaroslav Janus        UFA   G    -    30   6'1     189     71   71   95   63   60   63   63   62   61   65   66   72   61   52   56   32   79   62   62   65
Adam Huska            HAR   G    -    23   6'3     199     61   72   100  63   63   62   63   63   62   62   62   72   59   52   62   40   79   62   62   65
Erik Cernak           TBL   D    -    23   6'3     203     76   75   120  72   71   72   78   77   78   77   78   76   77   64   78   78   85   71   77   77
Zdeno Chara           Reti  D    -    43   6'9     255     76   77   100  71   61   64   76   76   71   66   75   67   45   78   91   64   79   65   74   72
Christian Jaros       BEL   D    -    24   6'3     201     75   74   110  64   50   53   74   75   75   72   75   73   77   54   69   53   81   55   74   71
Andrej Meszaros       UFA   D    -    34   6'2     223     75   67   85   65   62   68   74   70   70   77   77   74   49   72   78   30   74   65   71   70
