Name                  Team  Pos  Alt  Age  Height  Weight  POT  CON  GRE  SH   PL   ST   CH   PO   HI   SK   EN   PE   FA   LE   SR   FI   IN   OF   DF   OA
Nino Niederreiter     WPG   RW   LW   27   6'2     211     84   70   90   79   79   79   78   80   76   82   80   74   85   62   81   73   74   79   78   78
Timo Meier            SJS   RW   LW   23   6'0     210     84   66   90   77   76   82   79   80   76   82   80   78   75   64   76   58   78   78   78   77
Tanner Richard        SYR   RW   C    27   6'0     176     75   68   95   60   75   77   68   75   69   75   70   68   76   57   75   76   73   70   70   72
Sven Andrighetto      ONT   RW   C    27   5'9     188     76   67   90   76   74   78   70   76   58   76   76   78   70   59   69   64   73   76   68   72
Christoph Bertschy    UFA   RW   C    26   5'10    186     76   68   90   61   73   76   69   71   56   71   69   77   76   63   71   71   83   70   65   71
Joel Vermin           UFA   RW   C    28   5'11    192     76   67   90   66   67   72   67   70   59   75   62   88   62   59   62   53   77   68   65   69
Kay Schweri           COE   RW   LW   23   5'9     175     72   65   110  49   75   56   68   55   50   72   59   82   72   51   52   75   84   60   57   65
Fabrice Herzog        UFA   RW   LW   25   6'2     176     73   67   100  55   53   57   55   50   53   56   53   76   55   54   50   42   80   55   52   60
Gernot Janosi         Juni  RW   -    19   6'2     208     62   61   90   54   52   59   44   54   55   63   61   60   34   60   62   17   76   55   51   58
Nico Hischier         BOS   LW   C    21   6'1     176     83   74   90   82   82   82   76   75   74   87   84   87   85   61   58   76   77   82   75   78
Kevin Fiala           NAS   LW   RW   23   5'10    193     83   72   90   78   79   83   75   78   59   82   79   68   79   68   67   52   84   80   70   76
Sven Baertschi        DAL   LW   RW   27   5'11    190     77   68   90   75   76   77   76   76   63   77   77   76   64   58   62   76   83   76   71   72
Nando Eggenberger     LHV   LW   RW   20   6'2     185     74   72   90   74   73   73   72   73   71   74   74   82   72   50   64   68   78   73   72   72
Denis Hollenstein     UFA   LW   RW   30   6'0     194     73   72   100  65   72   71   73   73   67   71   56   70   56   64   72   31   77   69   71   70
