Name                  Team  Pos  Alt  Age  Height  Weight  POT  CON  GRE  SH   PL   ST   CH   PO   HI   SK   EN   PE   FA   LE   SR   FI   IN   OF   DF   OA
Charlie Coyle         VGK   RW   C    28   6'3     221     84   68   90   80   80   82   78   80   76   84   84   80   86   62   81   63   84   80   78   79
T.J. Oshie            WAS   RW   C    33   5'11    195     83   73   85   78   76   83   77   79   74   82   88   79   73   69   77   50   79   79   76   78
Patrick Kane          STL   RW   C    31   5'11    177     93   82   85   83   88   92   70   77   59   92   57   85   62   72   79   32   78   87   68   78
Jonny Brodzinski      LAK   RW   C    27   6'0     202     81   69   95   76   79   80   79   78   74   81   85   85   83   63   65   83   76   78   77   78
Johnny Gaudreau       CAL   RW   LW   26   5'9     157     83   73   95   79   83   82   76   77   61   83   78   78   85   71   75   51   75   81   71   78
Vincent Trocheck      WPG   RW   C    26   5'10    182     78   76   90   83   80   79   77   73   73   79   77   84   79   72   69   66   77   80   74   77
Sonny Milano          CBS   RW   LW   24   6'2     197     83   68   90   75   74   75   75   76   74   79   84   87   92   61   63   71   83   74   75   77
Matthew Tkachuk       CAL   RW   LW   22   6'2     205     84   73   70   78   76   82   80   80   76   80   83   82   76   66   77   78   77   78   78   77
Brock Boeser          MON   RW   C    23   6'1     191     81   73   90   84   80   81   77   81   73   81   81   78   71   62   74   53   82   81   77   77
Phil Kessel           TBL   RW   C    32   6'0     202     91   74   85   82   83   85   69   78   58   85   69   82   59   67   79   33   77   83   68   76
Cam Atkinson          CBS   RW   LW   31   5'8     182     81   77   90   80   77   79   76   75   67   80   62   84   65   66   71   21   74   78   72   75
Austin Watson         NAS   RW   C    28   6'4     204     75   76   90   70   68   75   75   75   76   75   75   76   75   70   76   51   79   71   75   75
Anders Lee            VGK   RW   C    29   6'3     228     75   71   100  81   75   75   75   75   77   75   77   65   65   64   77   50   74   77   75   75
Adam Gaudette         CAL   RW   C    23   6'1     170     77   71   95   74   76   75   76   76   70   77   77   78   78   59   76   78   79   75   74   75
Tyler Pitlick         TEX   RW   C    28   6'0     202     75   71   90   68   66   76   75   75   74   75   75   78   76   63   76   56   74   70   74   74
John Hayden           VGK   RW   C    25   6'3     223     74   68   110  74   72   73   73   73   75   74   75   65   75   62   74   75   82   73   73   74
Craig Smith           NAS   RW   C    30   6'1     208     75   73   90   76   74   76   75   75   67   75   75   78   68   73   73   45   73   75   72   74
Beau Bennett          FLA   RW   LW   28   6'2     195     76   69   90   76   74   77   75   76   70   76   76   73   63   62   77   49   45   75   73   74
